Operating permit number,Address,Mechanical system type,Current system status,Permit renewal date,Voluntary participant,Date of most recent report,Legionella pneumophila,Marker colour,Escherichia coli,Turbidity,Temperature,Total Suspended Solids,Benzene,Toluene,Ethylbenzene,Xylenes Total,EOCP certification number,Geom,Geo Local Area,Water quality reports link,geo_point_2d
OP-2019-00003,"638 BEACH CRESCENT, Vancouver, BC V6Z 3H4",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1304332,49.2731511],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00003,"49.2731511, -123.1304332"
OP-2019-00004,"588 BROUGHTON STREET, Vancouver, BC V6G 3E3",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1263013,49.2894972],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00004,"49.2894972, -123.1263013"
OP-2019-00017,"3628 RAE AVENUE, Vancouver, BC V5R 2P5",Building Water Treatment System,Active,12/4/2025,N,12/4/2020,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0252783,49.2364429],""type"":""Point""}",Renfrew-Collingwood,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00017,"49.2364429, -123.0252783"
OP-2019-00020,"1145 BURNABY STREET, Vancouver, BC V6E 1P3",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1331978,49.2806645],""type"":""Point""}",West End,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00020,"49.2806645, -123.1331978"
OP-2019-00022,"5603 BALSAM STREET, Vancouver, BC V6M 4B5",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001380,"{""coordinates"":[-123.1616998,49.2357599],""type"":""Point""}",Arbutus Ridge,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00022,"49.2357599, -123.1616998"
OP-2019-00037,"3 N GARDEN DRIVE, Vancouver, BC V5L 5C6",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.0581152,49.2850667],""type"":""Point""}",Grandview-Woodland,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00037,"49.2850667, -123.0581152"
OP-2019-00038,"1445 MARPOLE AVENUE, Vancouver, BC V6H 1S5",Building Water Treatment System,Active,12/9/2025,N,,,blue,,,,,,,,,1001356,"{""coordinates"":[-123.1383905,49.2575366],""type"":""Point""}",Fairview,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00038,"49.2575366, -123.1383905"
OP-2019-00001,"838 W HASTINGS STREET, Vancouver, BC V6C 1C8",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1157214,49.2861166],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00001,"49.2861166, -123.1157214"
OP-2019-00002,"183 KEEFER PLACE, Vancouver, BC V6B 6B9",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1083769,49.2802457],""type"":""Point""}",Downtown,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00002,"49.2802457, -123.1083769"
OP-2019-00005,"2410 CORNWALL AVENUE, Vancouver, BC V6K 1B8",Building Water Treatment System,Active,12/2/2025,N,,,blue,,,,,,,,,1001379,"{""coordinates"":[-123.1602827,49.2723913],""type"":""Point""}",Kitsilano,https://opendata.vancouver.ca/explore/dataset/operating-permits-water-systems-water-quality-reports/table/?q=OP-2019-00005,"49.2723913, -123.1602827"
